Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 2423.03, -3.38916, 35.8339, 123.684
120, 2.00000, 7.11846E-015, -116.085, 9.97365E-015, -3.1542
180, 3.00000, 15.3982, -55.6382, 0.527045, 84.3687
240, 4.00000, 2.57498E-014, 168.518, 6.76508E-015, -36.3489
300, 5.00000, 226.889, -74.826, 7.08293, -0.3605
360, 6.00000, 3.38607E-015, -18.5915, 1.71193E-015, 96.1634
420, 7.00000, 159.773, 148.029, 4.10226, 114.456
480, 8.00000, 1.55311E-014, 102.569, 1.00715E-014, -132.299
540, 9.00000, 7.39022, 78.2352, 0.15553, -147.495
600, 10.00000, 4.49086E-015, 7.30796, 3.9317E-015, 169.089
660, 11.00000, 90.5845, -26.0472, 2.13251, -9.2101
720, 12.00000, 5.33595E-015, 36.5924, 6.33042E-015, -154.578
780, 13.00000, 38.7968, -122.235, 1.47457, 155.912
840, 14.00000, 1.5921E-014, -171.635, 5.6743E-015, -93.6054
900, 15.00000, 0.172289, 83.9881, 0.174153, -155.831
